counter	predict	actual	diff	sqsum	frac	sum
1	(metric),(metric_2),(not),(found),(in),(TxMatrix),(array),(metric),(metric_0),(not),(found),(in),(TxMatrix),(array),(metric),(metric_1),(not),(found),(in),(TxMatrix),(array)	(73,5,22),(93,3,20),(98,1,15),(99,0,11),(99,0,4),(99,0,3),(99,0,2),(99,0,2),(99,0,2),(99,0,2),(99,0,1),(98,0,1),(94,0,2),(96,0,2),(98,0,2),(99,0,2),(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1)	2036	198056	.01027992083047218968	.01027992083047218968
2	(20,50,10)	(93,3,20)	130	16478	.00788930695472751547	.01816922778519970515
3	(20,50,10)	(98,1,15)	132	17150	.00769679300291545189	.02586602078811515704
4	(90,10,20)	(99,0,11)	28	36782	.00076124191180468707	.02662726269991984411
5	(90,10,20)	(99,0,4)	35	36397	.00096161771574580322	.02758888041566564733
6	(10,20,90)	(99,0,3)	196	20930	.00936454849498327759	.03695342891064892492
7	(90,10,20)	(99,0,2)	37	36305	.00101914336868199972	.03797257227933092464
8	(90,0,0)	(99,0,2)	11	35725	.00030790762771168649	.03828047990704261113
9	(90,0,0)	(99,0,2)	11	35725	.00030790762771168649	.03858838753475429762
10	(10,0,90)	(99,0,2)	177	20345	.00869992627181125583	.04728831380656555345
11	(90,0,20)	(99,0,1)	28	36162	.00077429345722028648	.04806260726378583993
12	(90,0,0)	(98,0,1)	9	35345	.00025463290422973546	.04831724016801557539
13	(90,0,0)	(94,0,2)	6	33860	.00017720023626698168	.04849444040428255707
14	(90,0,0)	(96,0,2)	8	34600	.00023121387283236994	.04872565427711492701
15	(90,0,20)	(98,0,2)	26	35828	.00072568940493468795	.04945134368204961496
16	(90,0,0)	(99,0,2)	11	35725	.00030790762771168649	.04975925130976130145
17	(0,90,0)	(99,0,3)	192	17910	.01072026800670016750	.06047951931646146895
18	(0,90,0)	(99,0,3)	192	17910	.01072026800670016750	.07119978732316163645
19	(0,20,90)	(99,0,2)	207	18665	.01109027591749263327	.08229006324065426972
20	(0,0,90)	(99,0,2)	187	18265	.01023816041609635915	.09252822365675062887
21	(0,90,0)	(99,0,1)	190	17902	.01061333929169925148	.10314156294844988035
22	(0,0,90)	(99,0,1)	188	18082	.01039707996902997456	.11353864291747985491
23	(90,0,0)	(99,0,1)	10	35722	.00027993953306085885	.11381858245054071376
24	(0,0,90)	(99,0,1)	188	18082	.01039707996902997456	.12421566241957068832
