counter	predict	actual	diff	sqsum	frac	sum
1	(0)	(50)	50	2500	.02000000000000000000	.02000000000000000000
2	(0)	(49)	49	2401	.02040816326530612244	.04040816326530612244
3	(0)	(49)	49	2401	.02040816326530612244	.06081632653061224488
4	(0)	(48)	48	2304	.02083333333333333333	.08164965986394557821
5	(0)	(52)	52	2704	.01923076923076923076	.10088042909471480897
6	(0)	(50)	50	2500	.02000000000000000000	.12088042909471480897
7	(0)	(53)	53	2809	.01886792452830188679	.13974835362301669576
8	(0)	(45)	45	2025	.02222222222222222222	.16197057584523891798
9	(0)	(38)	38	1444	.02631578947368421052	.18828636531892312850
10	(metric),(metric_0),(not),(found),(in),(TxMatrix),(array)	(41),(43),(51),(49),(49),(52),(50)	335	16137	.02075974468612505422	.20904611000504818272
11	(54),(53)	(43),(51)	13	20225	.00064276885043263288	.20968887885548081560
12	(54),(53)	(51),(49)	7	21429	.00032666013346399738	.21001553898894481298
13	(54),(53)	(49),(49)	9	21013	.00042830628658449531	.21044384527552930829
14	(54),(53)	(49),(52)	6	21634	.00027734122215031894	.21072118649767962723
15	(54),(53)	(52),(50)	5	21845	.00022888532845044632	.21095007182613007355
16	(54),(53)	(50),(47)	10	20816	.00048039969254419677	.21143047151867427032
17	(54),(53)	(47),(50)	10	20810	.00048053820278712157	.21191100972146139189
18	(54),(53)	(50),(51)	6	21632	.00027736686390532544	.21218837658536671733
19	(54),(53)	(51),(52)	4	22050	.00018140589569160997	.21236978248105832730
20	(54),(53)	(52),(51)	4	22052	.00018138944313440957	.21255117192419273687
21	(53),(53)	(51),(55)	4	22480	.00017793594306049822	.21272910786725323509
22	(53),(53)	(55),(58)	7	23985	.00029184907233687721	.21302095693959011230
23	(53),(53)	(58),(58)	10	24642	.00040581121662202743	.21342676815621213973
24	(53),(53)	(58),(56)	8	24202	.00033055119411618874	.21375731935032832847
25	(53),(53)	(56),(54)	4	23330	.00017145306472353193	.21392877241505186040
26	(53),(53)	(54),(58)	6	23770	.00025241901556583929	.21418119143061769969
27	(53),(53)	(58),(56)	8	24202	.00033055119411618874	.21451174262473388843
28	(53),(53)	(56),(62)	12	25106	.00047797339281446666	.21498971601754835509
29	(53),(53)	(62),(82)	38	31450	.00120826709062003179	.21619798310816838688
30	(53),(53)	(82),(52)	30	29250	.00102564102564102564	.21722362413380941252
31	(53),(66)	(52),(54)	13	25425	.00051130776794493608	.21773493190175434860
32	(53),(66)	(54),(63)	4	28090	.00014239943040227839	.21787733133215662699
33	(66),(66)	(63),(63)	6	33282	.00018027762754642148	.21805760895970304847
34	(53),(66)	(63),(58)	18	28832	.00062430632630410654	.21868191528600715501
35	(66),(66)	(58),(54)	20	29776	.00067168189145620634	.21935359717746336135
36	(66),(66)	(54),(63)	15	31041	.00048323185464385812	.21983682903210721947
37	(53),(53)	(63),(58)	15	25777	.00058191410947744112	.22041874314158466059
38	(53),(66)	(58),(68)	7	30277	.00023119859959705386	.22064994174118171445
39	(53),(53)	(68),(71)	33	30017	.00109937701968884298	.22174931876087055743
40	(66),(66)	(71),(74)	13	38369	.00033881518934556543	.22208813395021612286
41	(66),(66)	(74),(66)	8	37024	.00021607605877268798	.22230421000898881084
42	(66),(66)	(66),(59)	7	33049	.00021180671124693636	.22251601672023574720
43	(66),(66)	(59),(47)	26	28394	.00091568641262238501	.22343170313285813221
