counter	predict	actual	diff	sqsum	frac	sum
1	(0)	(50)	50	2500	.02000000000000000000	.02000000000000000000
2	(0)	(49)	49	2401	.02040816326530612244	.04040816326530612244
3	(0)	(49)	49	2401	.02040816326530612244	.06081632653061224488
4	(0)	(48)	48	2304	.02083333333333333333	.08164965986394557821
5	(0)	(52)	52	2704	.01923076923076923076	.10088042909471480897
6	(0)	(50)	50	2500	.02000000000000000000	.12088042909471480897
7	(0)	(53)	53	2809	.01886792452830188679	.13974835362301669576
8	(0)	(45)	45	2025	.02222222222222222222	.16197057584523891798
9	(0)	(38)	38	1444	.02631578947368421052	.18828636531892312850
10	(metric),(metric_0),(not),(found),(in),(TxMatrix),(array)	(41),(43),(51),(49),(49),(52),(50)	335	16137	.02075974468612505422	.20904611000504818272
11	(40),(41)	(43),(51)	13	15353	.00084674005080440304	.20989285005585258576
12	(40),(41)	(51),(49)	19	16381	.00115988034918503143	.21105273040503761719
13	(40),(41)	(49),(49)	17	16021	.00106110729667311653	.21211383770171073372
14	(40),(41)	(49),(52)	20	16570	.00120700060350030175	.21332083830521103547
15	(40),(41)	(52),(50)	21	16745	.00125410570319498357	.21457494400840601904
16	(40),(41)	(50),(47)	16	15844	.00100984599848523100	.21558479000689125004
17	(40),(41)	(47),(50)	16	15850	.00100946372239747634	.21659425372928872638
18	(40),(41)	(50),(51)	20	16564	.00120743781695242695	.21780169154624115333
19	(40),(41)	(51),(52)	22	16930	.00129946839929119905	.21910115994553235238
20	(40),(41)	(52),(51)	22	16928	.00129962192816635160	.22040078187369870398
21	(50),(51)	(51),(55)	5	21437	.00023324159164062135	.22063402346533932533
22	(40),(51)	(55),(58)	22	20906	.00105232947479192576	.22168635294013125109
23	(50),(41)	(58),(58)	25	21465	.00116468669927789424	.22285103963940914533
24	(40),(51)	(58),(56)	23	21053	.00109248088158457226	.22394352052099371759
25	(50),(51)	(56),(54)	9	22261	.00040429450608687839	.22434781502708059598
26	(50),(51)	(54),(58)	11	22697	.00048464554786976252	.22483246057495035850
27	(50),(41)	(58),(56)	23	21073	.00109144402790300384	.22592390460285336234
28	(40),(51)	(56),(62)	27	21985	.00122811007505117125	.22715201467790453359
29	(50),(41)	(62),(82)	53	27673	.00191522422577964080	.22906723890368417439
30	(50),(41)	(82),(52)	43	26073	.00164921566371342001	.23071645456739759440
31	(50),(61)	(52),(54)	9	23629	.00038088789199712218	.23109734245939471658
32	(50),(61)	(54),(63)	6	26192	.00022907758094074526	.23132642004033546184
33	(40),(51)	(63),(63)	35	23605	.00148273670832450751	.23280915674865996935
34	(40),(51)	(63),(58)	30	22490	.00133392618941751889	.23414308293807748824
35	(60),(51)	(58),(54)	5	24949	.00020040883402140366	.23434349177209889190
36	(50),(61)	(54),(63)	6	26192	.00022907758094074526	.23457256935303963716
37	(60),(61)	(63),(58)	6	29290	.00020484807101399795	.23477741742405363511
38	(40),(51)	(58),(68)	35	23765	.00147275405007363770	.23625017147412727281
39	(50),(61)	(68),(71)	28	31348	.00089319892816128620	.23714337040228855901
40	(60),(61)	(71),(74)	24	35386	.00067823432996100152	.23782160473224956053
41	(60),(61)	(74),(66)	19	34085	.00055742995452545107	.23837903468677501160
42	(60),(61)	(66),(59)	8	30276	.00026423569824283260	.23864327038501784420
43	(60),(61)	(59),(47)	15	25825	.00058083252662149080	.23922410291163933500
