exp,smape,duration
070_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps4, 5.637%, 219
071_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.641%, 300
072_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.327%, 299
073_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.313%, 300
074_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.326%, 300
075_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.340%, 299
076_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.322%, 300
077_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.337%, 302
078_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.341%, 307
079_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps4, 0.335%, 300
080_uninet-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps4, 0.340%, 301
081_uninet-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps4, 0.336%, 301
082_uninet-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps4, 0.362%, 302
083_uninet-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps4, 0.370%, 302
084_uninet-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps4, 0.363%, 307
085_hpc-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps8, 2.103%, 300
086_hpc-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps8, 3.142%, 298
087_hpc-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps8, 2.976%, 298
088_hpc-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps8, 2.800%, 300
089_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps8, 4.388%, 300
090_hpc-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps8, 3.531%, 299
091_hpc-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps8, 1.487%, 301
092_hpc-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps8, 2.893%, 303
093_hpc-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps8, 3.023%, 299
094_hpc-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps8, 2.949%, 300
095_hpc-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps8, 2.798%, 299
096_hpc-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps8, 4.378%, 300
097_hpc-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps8, 4.411%, 300
098_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps8, 3.798%, 302
099_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.508%, 402
100_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.332%, 402
101_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.331%, 403
102_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.343%, 402
103_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.348%, 403
104_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.342%, 404
105_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.345%, 407
106_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.351%, 411
107_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps8, 0.339%, 404
108_uninet-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps8, 0.344%, 401
109_uninet-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps8, 0.343%, 403
110_uninet-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps8, 0.366%, 403
111_uninet-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps8, 0.369%, 405
112_uninet-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps8, 0.367%, 409
113_hpc-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps1, 1.482%, 467
114_hpc-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps1, 1.701%, 465
115_hpc-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps1, 1.641%, 465
116_hpc-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps1, 1.651%, 465
117_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 2.664%, 465
118_hpc-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps1, 2.090%, 467
119_hpc-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.900%, 466
120_hpc-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps1, 2.509%, 470
121_hpc-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps1, 1.376%, 467
122_hpc-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps1, 1.419%, 466
123_hpc-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps1, 1.522%, 467
124_hpc-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps1, 2.641%, 468
125_hpc-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps1, 2.231%, 469
126_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps1, 2.366%, 469
127_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.429%, 610
128_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.332%, 607
129_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.338%, 611
130_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.345%, 612
131_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.354%, 608
132_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.347%, 610
133_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.351%, 614
134_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.352%, 619
135_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps1, 0.335%, 610
136_uninet-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps1, 0.337%, 610
137_uninet-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps1, 0.337%, 609
138_uninet-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps1, 0.356%, 608
139_uninet-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps1, 0.358%, 613
140_uninet-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps1, 0.360%, 615
141_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 1.807%, 551
142_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 1.695%, 654
143_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps3, 1.318%, 764
144_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.740%, 977
145_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps5, 0.514%, 1183
146_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps6, 0.476%, 1406
147_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.367%, 2274
148_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.349%, 716
149_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.348%, 846
150_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps3, 0.339%, 982
151_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.332%, 1238
152_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps5, 0.324%, 1501
153_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps6, 0.315%, 1779
154_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.299%, 2853
155_hpc-single-s10-b1-h1-ps-pcl0-pm0-pd0-ps1, 5.476%, 163
156_uninet-single-s10-b1-h1-ps-pcl0-pm0-pd0-ps1, 0.167%, 240
157_hpc-single-s10-b5-h1-ps-pcl0-pm0-pd0-ps1, 5.516%, 157
158_uninet-single-s10-b5-h1-ps-pcl0-pm0-pd0-ps1, 0.261%, 225
159_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps1, 0.364%, 247
160_hpc-multi-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.404%, 177
161_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps2, 0.325%, 275
162_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps4, 0.320%, 332
163_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps8, 0.325%, 448
164_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps1, 0.341%, 685
165_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps2, 0.342%, 804
166_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps2, 0.351%, 956
167_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps3, 0.351%, 1105
168_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps4, 0.360%, 1408
169_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps5, 0.368%, 1706
170_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps6, 0.372%, 2005
171_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps1, 0.390%, 3179
