exp,smape,duration
070_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps4, 5.600%, 219
071_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.642%, 297
072_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.329%, 299
073_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.312%, 299
074_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.322%, 299
075_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.343%, 299
076_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.325%, 299
077_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.334%, 302
078_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.341%, 307
079_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps4, 0.331%, 299
080_uninet-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps4, 0.339%, 300
081_uninet-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps4, 0.339%, 300
082_uninet-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps4, 0.365%, 300
083_uninet-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps4, 0.364%, 302
084_uninet-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps4, 0.367%, 305
085_hpc-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps8, 2.160%, 295
086_hpc-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps8, 3.061%, 298
087_hpc-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps8, 2.838%, 299
088_hpc-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps8, 2.675%, 298
089_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps8, 4.355%, 299
090_hpc-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps8, 4.030%, 299
091_hpc-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps8, 1.696%, 301
092_hpc-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps8, 2.924%, 304
093_hpc-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps8, 2.912%, 298
094_hpc-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps8, 2.590%, 299
095_hpc-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps8, 2.609%, 299
096_hpc-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps8, 3.876%, 299
097_hpc-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps8, 4.188%, 300
098_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps8, 4.055%, 301
099_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.496%, 401
100_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.331%, 402
101_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.328%, 402
102_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.340%, 402
103_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.349%, 403
104_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.337%, 402
105_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.349%, 405
106_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.355%, 411
107_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps8, 0.339%, 402
108_uninet-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps8, 0.343%, 403
109_uninet-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps8, 0.344%, 404
110_uninet-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps8, 0.365%, 402
111_uninet-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps8, 0.372%, 405
112_uninet-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps8, 0.368%, 409
113_hpc-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps1, 1.503%, 462
114_hpc-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps1, 1.574%, 465
115_hpc-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps1, 1.969%, 465
116_hpc-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps1, 1.603%, 464
117_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 2.237%, 465
118_hpc-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps1, 2.227%, 469
119_hpc-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.954%, 468
120_hpc-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps1, 2.512%, 473
121_hpc-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps1, 1.536%, 468
122_hpc-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps1, 1.588%, 465
123_hpc-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps1, 1.410%, 466
124_hpc-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps1, 2.316%, 465
125_hpc-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps1, 2.382%, 468
126_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps1, 2.259%, 467
127_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.427%, 608
128_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.334%, 608
129_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.342%, 608
130_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.350%, 608
131_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.353%, 609
132_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.343%, 609
133_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.356%, 611
134_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.353%, 617
135_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps1, 0.335%, 608
136_uninet-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps1, 0.337%, 608
137_uninet-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps1, 0.338%, 609
138_uninet-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps1, 0.360%, 606
139_uninet-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps1, 0.358%, 610
140_uninet-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps1, 0.361%, 614
141_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 1.953%, 546
142_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 1.477%, 656
143_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps3, 1.278%, 762
144_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.810%, 981
145_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps5, 0.586%, 1182
146_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps6, 0.438%, 1413
147_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.385%, 2273
148_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.351%, 715
149_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.348%, 845
150_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps3, 0.340%, 981
151_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.335%, 1243
152_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps5, 0.323%, 1502
153_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps6, 0.316%, 1779
154_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.297%, 2847
155_hpc-single-s10-b1-h1-ps-pcl0-pm0-pd0-ps1, 5.484%, 167
156_uninet-single-s10-b1-h1-ps-pcl0-pm0-pd0-ps1, 0.168%, 235
157_hpc-single-s10-b5-h1-ps-pcl0-pm0-pd0-ps1, 5.609%, 152
158_uninet-single-s10-b5-h1-ps-pcl0-pm0-pd0-ps1, 0.265%, 225
159_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps1, 0.374%, 246
160_hpc-multi-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.405%, 175
161_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps2, 0.331%, 273
162_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps4, 0.320%, 328
163_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps8, 0.326%, 445
164_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps1, 0.339%, 678
165_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps2, 0.343%, 800
166_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps2, 0.350%, 950
167_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps3, 0.354%, 1096
168_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps4, 0.360%, 1406
169_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps5, 0.370%, 1696
170_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps6, 0.371%, 2024
171_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps1, 0.390%, 3206
