counter	predict	actual	diff	sqsum	frac	sum
1	(0)	(50)	50	2500	.02000000000000000000	.02000000000000000000
2	(0)	(49)	49	2401	.02040816326530612244	.04040816326530612244
3	(metric),(metric_0),(not),(found),(in),(TxMatrix),(array)	(49),(48),(52),(50),(53),(45),(38)	335	16187	.02069561994192870822	.06110378320723483066
4	(50)	(48)	2	9604	.00020824656393169512	.06131202977116652578
5	(50)	(52)	2	10404	.00019223375624759707	.06150426352741412285
6	(50)	(50)	0	10000	0	.06150426352741412285
7	(50)	(53)	3	10609	.00028277877274012630	.06178704230015424915
8	(50)	(45)	5	9025	.00055401662049861495	.06234105892065286410
9	(50)	(38)	12	7744	.00154958677685950413	.06389064569751236823
10	(50)	(41)	9	8281	.00108682526264943847	.06497747096016180670
11	(40)	(43)	3	6889	.00043547684714762665	.06541294780730943335
12	(40)	(51)	11	8281	.00132834198768264702	.06674128979499208037
13	(50)	(49)	1	9801	.00010203040506070809	.06684332020005278846
14	(50)	(49)	1	9801	.00010203040506070809	.06694535060511349655
15	(50)	(52)	2	10404	.00019223375624759707	.06713758436136109362
16	(40)	(50)	10	8100	.00123456790123456790	.06837215226259566152
17	(50)	(47)	3	9409	.00031884366032522053	.06869099592292088205
18	(50)	(50)	0	10000	0	.06869099592292088205
19	(50)	(51)	1	10201	.00009802960494069208	.06878902552786157413
20	(50)	(52)	2	10404	.00019223375624759707	.06898125928410917120
21	(50)	(51)	1	10201	.00009802960494069208	.06907928888904986328
22	(50)	(55)	5	11025	.00045351473922902494	.06953280362827888822
23	(50)	(58)	8	11664	.00068587105624142661	.07021867468452031483
24	(60)	(58)	2	13924	.00014363688595231255	.07036231157047262738
25	(60)	(56)	4	13456	.00029726516052318668	.07065957673099581406
26	(60)	(54)	6	12996	.00046168051708217913	.07112125724807799319
27	(60)	(58)	2	13924	.00014363688595231255	.07126489413403030574
28	(60)	(56)	4	13456	.00029726516052318668	.07156215929455349242
29	(metric_0),(60)	(62),(82)	84	24008	.00349883372209263578	.07506099301664612820
30	(metric_0),(60)	(82),(52)	90	19268	.00467095702719534980	.07973195004384147800
31	(metric_0),(80)	(52),(54)	78	20660	.00377541142303969022	.08350736146688116822
32	(metric_0),(50)	(54),(63)	67	15685	.00427159706726171501	.08777895853414288323
33	(50)	(63)	13	12769	.00101809068838593468	.08879704922252881791
34	(metric_0),(60)	(63),(58)	65	17893	.00363270552730117923	.09242975474982999714
35	(metric_0),(60)	(58),(54)	64	16360	.00391198044009779951	.09634173518992779665
36	(metric),(metric_0),(not),(found),(in),(TxMatrix),(array)	(54),(63),(58),(68),(71),(74),(66)	454	29746	.01526255631009211322	.11160429150001990987
37	(60)	(63)	3	15129	.00019829466587348800	.11180258616589339787
38	(50)	(58)	8	11664	.00068587105624142661	.11248845722213482448
39	(50)	(68)	18	13924	.00129273197357081298	.11378118919570563746
40	(50)	(71)	21	14641	.00143432825626664845	.11521551745197228591
41	(70)	(74)	4	20736	.00019290123456790123	.11540841868654018714
42	(70)	(66)	4	18496	.00021626297577854671	.11562468166231873385
43	(70)	(59)	11	16641	.00066101796767021212	.11628569962998894597
44	(70)	(47)	23	13689	.00168018116736065454	.11796588079734960051
45	(metric),(metric_0),(not),(found),(in),(TxMatrix),(array)	(42),(45),(43),(57),(57),(54),(49)	347	17453	.01988196871598006073	.13784784951332966124
