counter	predict	actual	diff	sqsum	frac	sum
1	(0)	(50)	50	2500	.02000000000000000000	.02000000000000000000
2	(0)	(49)	49	2401	.02040816326530612244	.04040816326530612244
3	(0)	(49)	49	2401	.02040816326530612244	.06081632653061224488
4	(0)	(48)	48	2304	.02083333333333333333	.08164965986394557821
5	(0)	(52)	52	2704	.01923076923076923076	.10088042909471480897
6	(0)	(50)	50	2500	.02000000000000000000	.12088042909471480897
7	(0)	(53)	53	2809	.01886792452830188679	.13974835362301669576
8	(0)	(45)	45	2025	.02222222222222222222	.16197057584523891798
9	(0)	(38)	38	1444	.02631578947368421052	.18828636531892312850
10	(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44)	(41),(43),(51),(49),(49),(52),(50),(47),(50),(51),(52),(51),(55),(58),(58),(56)	117	144161	.00081159259439099340	.18909795791331412190
11	(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44)	(43),(51),(49),(49),(52),(50),(47),(50),(51),(52),(51),(55),(58),(58),(56),(54)	124	146540	.00084618534188617442	.18994414325520029632
12	(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44)	(51),(49),(49),(52),(50),(47),(50),(51),(52),(51),(55),(58),(58),(56),(54),(58)	137	149375	.00091715481171548117	.19086129806691577749
13	(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44)	(49),(49),(52),(50),(47),(50),(51),(52),(51),(55),(58),(58),(56),(54),(58),(56)	142	150350	.00094446291985367475	.19180576098676945224
14	(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44)	(49),(52),(50),(47),(50),(51),(52),(51),(55),(58),(58),(56),(54),(58),(56),(62)	155	152937	.00101348921451316555	.19281925020128261779
15	(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44)	(52),(50),(47),(50),(51),(52),(51),(55),(58),(58),(56),(54),(58),(56),(62),(82)	188	160164	.00117379685822032416	.19399304705950294195
16	(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44)	(50),(47),(50),(51),(52),(51),(55),(58),(58),(56),(54),(58),(56),(62),(82),(52)	188	160164	.00117379685822032416	.19516684391772326611
17	(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44)	(47),(50),(51),(52),(51),(55),(58),(58),(56),(54),(58),(56),(62),(82),(52),(54)	192	160932	.00119305048094847513	.19635989439867174124
18	(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44)	(50),(51),(52),(51),(55),(58),(58),(56),(54),(58),(56),(62),(82),(52),(54),(63)	208	164100	.00126751980499695307	.19762741420366869431
19	(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44)	(51),(52),(51),(55),(58),(58),(56),(54),(58),(56),(62),(82),(52),(54),(63),(63)	221	166713	.00132563147445010287	.19895304567811879718
20	(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44),(44)	(52),(51),(55),(58),(58),(56),(54),(58),(56),(62),(82),(52),(54),(63),(63),(58)	228	168092	.00135640006663017871	.20030944574474897589
