exp,smape,avgdiff,duration
201_hpc-single-s10-b1-h1-ps16-4-pcl0-pm2-pd2-ps1, 0.862%,31.46122112211221122112, 183
202_hpc-single-s10-b1-h1-ps16-4-pcl0-pm2-pd2-ps4, 0.305%,137.24917491749174917491, 243
203_hpc-single-s10-b1-h1-ps16-4-pcl0-pm2-pd2-ps8, 0.311%,327.44141914191419141914, 339
204_uninet-single-s10-b1-h1-ps16-4-pcl0-pm2-pd2-ps1, 0.408%,19.92923280423280423280, 261
205_uninet-single-s10-b1-h1-ps16-4-pcl0-pm2-pd2-ps4, 0.339%,87.37202380952380952380, 338
206_uninet-single-s10-b1-h1-ps16-4-pcl0-pm2-pd2-ps8, 0.345%,197.57010582010582010582, 454
207_hpc-single-s10-b1-h1-ps240-4-pcl0-pm2-pd2-ps1, 0.428%,36.14686468646864686468, 190
208_hpc-single-s10-b1-h1-ps240-4-pcl0-pm2-pd2-ps4, 0.460%,305.23679867986798679867, 285
209_hpc-single-s10-b1-h1-ps240-4-pcl0-pm2-pd2-ps8, 0.738%,1315.13985148514851485148, 569
210_uninet-single-s10-b1-h1-ps240-4-pcl0-pm2-pd2-ps1, 0.630%,21.40277777777777777777, 274
211_uninet-single-s10-b1-h1-ps240-4-pcl0-pm2-pd2-ps4, 0.661%,149.40244708994708994708, 385
212_uninet-single-s10-b1-h1-ps240-4-pcl0-pm2-pd2-ps8, 0.999%,575.21593915343915343915, 692
213_hpc-single-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps1, 7.685%,61.74009900990099009900, 270
214_hpc-single-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps4, 9.081%,1275.34777227722772277227, 674
215_hpc-single-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps8, 8.335%,2950.21245874587458745874, 1267
216_uninet-single-s10-b1-h1-ps7-144-1-pcl0-pm2-pd3-ps1, 1.288%,18.01190476190476190476, 352
217_uninet-single-s10-b1-h1-ps7-144-1-pcl0-pm2-pd3-ps4, 1.143%,292.83895502645502645502, 567
218_uninet-single-s10-b1-h1-ps7-144-1-pcl0-pm2-pd3-ps8, 0.958%,674.94279100529100529100, 875
219_hpc-single-s10-b1-h1-ps16-4-pcl0-pm2-pd1-ps1, 0.798%,31.44554455445544554455, 179
220_uninet-single-s10-b1-h1-ps16-4-pcl0-pm2-pd1-ps1, 0.418%,20.28835978835978835978, 260
221_hpc-single-s10-b1-h1-ps240-4-pcl0-pm2-pd1-ps1, 0.431%,36.43894389438943894389, 189
222_uninet-single-s10-b1-h1-ps240-4-pcl0-pm2-pd1-ps1, 0.633%,21.32010582010582010582, 275
223_hpc-single-s10-b1-h1-ps10-240-1-pcl0-pm2-pd1-ps1, 4.404%,20.91749174917491749174, 271
224_hpc-single-s10-b1-h1-ps10-240-1-pcl0-pm2-pd2-ps1, 7.685%,61.74009900990099009900, 270
225_uninet-single-s10-b1-h1-ps7-144-1-pcl0-pm2-pd1-ps1, 0.547%,19.85978835978835978835, 349
226_uninet-single-s10-b1-h1-ps7-144-1-pcl0-pm2-pd2-ps1, 1.287%,17.99272486772486772486, 349
228_hpc-single-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps1, 6.537%,6215.55858085808580858085, 2452
229_hpc-single-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps3, 4.488%,11658.66625412541254125412, 4583
230_hpc-single-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps6, 1.826%,22233.52475247524752475247, 9233
231_hpc-single-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps1, 1.824%,34069.39480198019801980198, 15602
232_uninet-single-s10-b1-h1-ps7-144-1-pcl0-pm2-pd3-ps1, 0.841%,1435.82870370370370370370, 1512
233_uninet-single-s10-b1-h1-ps7-144-1-pcl0-pm2-pd3-ps3, 0.815%,2765.46891534391534391534, 2653
234_uninet-single-s10-b1-h1-ps7-144-1-pcl0-pm2-pd3-ps6, 0.769%,5573.68088624338624338624, 5167
235_uninet-single-s10-b1-h1-ps7-144-1-pcl0-pm2-pd3-ps1, 0.732%,9303.48313492063492063492, 8320
236_hpc-multi-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps1, 9.421%,851.32673267326732673267, 838
237_hpc-multi-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps4, 7.380%,4592.75907590759075907590, 2618
238_hpc-multi-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps8, 5.376%,9359.03754125412541254125, 5079
239_hpc-multi-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps1, 2.328%,18158.76485148514851485148, 10091
240_hpc-multi-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps3, 1.989%,31274.70420792079207920792, 19275
241_hpc-multi-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps6, 2.128%,52765.71575907590759075907, 40149
242_hpc-multi-s10-b1-h1-ps10-240-1-pcl0-pm2-pd3-ps1,,,
