exp,smape,duration
001_hpc-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps1, 3.499%,25.60891089108910891089, 152
002_hpc-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps1, 5.746%,13.67326732673267326732, 150
003_hpc-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps1, 5.792%,12.10767326732673267326, 151
004_hpc-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps1, 4.826%,11.66419141914191419141, 150
005_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 5.233%,11.30528052805280528052, 150
006_hpc-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps1, 4.884%,11.58044554455445544554, 150
007_hpc-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps1, 3.094%,14.75330033003300330033, 152
008_hpc-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps1, 4.171%,17.41047854785478547854, 156
009_hpc-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps1, 5.789%,14.32962046204620462046, 151
010_hpc-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps1, 5.761%,13.96534653465346534653, 152
011_hpc-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps1, 5.901%,13.76278877887788778877, 154
012_hpc-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps1, 5.192%,11.38943894389438943894, 153
013_hpc-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps1, 5.330%,11.27227722772277227722, 154
014_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps1, 5.195%,11.52475247524752475247, 156
015_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps1, 1.023%,18.21990740740740740740, 218
016_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.364%,14.72751322751322751322, 218
017_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.290%,14.04332010582010582010, 219
018_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.291%,13.88095238095238095238, 218
019_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.321%,13.03769841269841269841, 219
020_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.299%,13.37665343915343915343, 220
021_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.303%,13.60912698412698412698, 223
022_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.314%,14.51884920634920634920, 227
023_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps1, 0.366%,14.86673280423280423280, 221
024_uninet-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps1, 0.389%,14.95932539682539682539, 221
025_uninet-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps1, 0.361%,15.03174603174603174603, 223
026_uninet-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps1, 0.330%,13.14550264550264550264, 222
027_uninet-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps1, 0.326%,13.25198412698412698412, 224
028_uninet-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps1, 0.321%,12.99735449735449735449, 229
029_hpc-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps2, 3.024%,51.76237623762376237623, 173
030_hpc-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps2, 5.584%,29.28341584158415841584, 173
031_hpc-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps2, 5.400%,26.49009900990099009900, 173
032_hpc-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps2, 5.525%,25.14232673267326732673, 174
033_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 5.326%,24.29661716171617161716, 173
034_hpc-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps2, 5.012%,25.61138613861386138613, 175
035_hpc-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps2, 2.971%,30.26443894389438943894, 176
036_hpc-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps2, 3.683%,34.86963696369636963696, 179
037_hpc-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps2, 5.552%,29.17367986798679867986, 174
038_hpc-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps2, 5.522%,28.82508250825082508250, 174
039_hpc-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps2, 5.459%,29.55610561056105610561, 175
040_hpc-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps2, 5.545%,23.30486798679867986798, 174
041_hpc-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps2, 5.491%,24.57714521452145214521, 175
042_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps2, 5.061%,24.67161716171617161716, 177
043_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.861%,37.66534391534391534391, 246
044_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.332%,32.59986772486772486772, 246
045_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.299%,30.02513227513227513227, 247
046_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.305%,29.06944444444444444444, 247
047_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.327%,28.35019841269841269841, 247
048_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.308%,28.42757936507936507936, 247
049_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.316%,29.32572751322751322751, 250
050_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.331%,31.65674603174603174603, 255
051_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps2, 0.331%,32.18353174603174603174, 248
052_uninet-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps2, 0.329%,32.51719576719576719576, 247
