counter	predict	actual	diff	sqsum	frac	sum
1	(90,0,11),(11,90,0),(91,0,10),(90,0,10),(90,0,11),(0,10,91),(91,0,10),(91,0,11),(0,11,91),(11,90,0),(90,0,11),(90,0,10),(0,10,91),(91,0,10),(91,0,10),(11,91,0),(91,0,11),(90,0,11),(90,0,11),(91,0,10),(90,0,10),(0,10,91),(10,90,0),(91,0,10),(90,0,11),(91,0,10),(10,90,0),(90,0,10),(90,0,10),(0,10,90),(91,0,10),(91,0,10),(90,0,10),(11,91,0),(91,0,11),(90,0,10),(90,0,11),(10,90,0),(91,0,11),(0,10,91),(91,0,10),(91,0,10),(90,0,11),(10,90,0),(0,10,91),(0,11,91),(91,0,10),(91,0,10),(91,0,10),(91,0,10),(90,0,10),(0,10,90),(0,10,90),(91,0,10),(91,0,10),(10,90,0),(90,0,10),(10,91,0),(91,0,11),(0,10,91)	(99,0,1),(98,0,1),(94,0,2),(96,0,2),(98,0,2),(99,0,2),(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3),(97,0,3),(97,0,4),(97,0,12),(96,0,41),(96,0,63),(97,0,77),(96,0,80),(96,0,82),(96,0,81),(97,0,61),(98,0,44),(99,0,19),(99,0,8),(99,0,3),(99,0,2),(98,0,2),(98,0,2),(96,0,4),(97,0,8),(97,0,38),(96,0,57),(96,0,77),(96,0,78),(95,0,79),(97,0,80),(97,0,65),(98,0,50),(99,0,26),(99,0,8)	5247	1967421	.00266694317078042777	.00266694317078042777
2	(90,0,11),(91,0,11),(91,0,10),(90,0,10),(90,0,11),(91,0,10),(91,0,10),(91,0,11),(91,0,11),(91,0,10),(10,91,0),(90,0,10),(11,90,0),(91,0,10),(0,10,90),(0,11,91),(91,0,11),(90,0,11),(0,10,91),(91,0,10),(0,10,91),(91,0,11),(90,0,10),(91,0,10),(10,91,0),(10,91,0),(91,0,10),(0,11,90),(90,0,10),(0,10,90),(91,0,10),(0,10,90),(10,90,0),(11,91,0),(91,0,11),(90,0,10),(10,90,0),(0,10,90),(0,11,91),(11,90,0),(0,10,90),(11,91,0),(90,0,11),(90,0,10),(10,90,0),(0,11,91),(91,0,10),(11,90,0),(91,0,10),(91,0,10),(90,0,10),(10,91,0),(90,0,10),(91,0,10),(11,91,0),(0,10,91),(0,11,91),(90,0,10),(91,0,11),(91,0,11)	(98,0,1),(94,0,2),(96,0,2),(98,0,2),(99,0,2),(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3),(97,0,3),(97,0,4),(97,0,12),(96,0,41),(96,0,63),(97,0,77),(96,0,80),(96,0,82),(96,0,81),(97,0,61),(98,0,44),(99,0,19),(99,0,8),(99,0,3),(99,0,2),(98,0,2),(98,0,2),(96,0,4),(97,0,8),(97,0,38),(96,0,57),(96,0,77),(96,0,78),(95,0,79),(97,0,80),(97,0,65),(98,0,50),(99,0,26),(99,0,8),(99,0,2)	5858	1913546	.00306133220732608466	.00572827537810651243
3	(90,0,11),(91,0,11),(91,0,10),(90,0,10),(90,0,11),(91,0,10),(0,10,91),(91,0,11),(11,91,0),(0,10,91),(90,0,11),(90,0,10),(91,0,10),(91,0,10),(10,90,0),(11,91,0),(0,10,91),(90,0,11),(90,0,11),(0,10,91),(0,10,91),(10,91,0),(90,0,10),(91,0,10),(10,91,0),(0,11,90),(91,0,10),(0,11,90),(90,0,10),(10,90,0),(91,0,10),(0,10,90),(90,0,10),(11,91,0),(91,0,11),(90,0,10),(90,0,11),(10,90,0),(0,11,91),(0,10,91),(0,10,90),(0,10,90),(90,0,11),(10,90,0),(91,0,11),(91,0,11),(91,0,10),(91,0,10),(91,0,10),(10,90,0),(90,0,10),(91,0,10),(90,0,10),(91,0,10),(11,91,0),(90,0,11),(90,0,10),(10,91,0),(91,0,11),(0,10,91)	(94,0,2),(96,0,2),(98,0,2),(99,0,2),(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3),(97,0,3),(97,0,4),(97,0,12),(96,0,41),(96,0,63),(97,0,77),(96,0,80),(96,0,82),(96,0,81),(97,0,61),(98,0,44),(99,0,19),(99,0,8),(99,0,3),(99,0,2),(98,0,2),(98,0,2),(96,0,4),(97,0,8),(97,0,38),(96,0,57),(96,0,77),(96,0,78),(95,0,79),(97,0,80),(97,0,65),(98,0,50),(99,0,26),(99,0,8),(99,0,2),(99,0,4)	5932	1909400	.00310673510003142348	.00883501047813793591
4	(0,11,91),(11,90,0),(0,10,91),(0,10,90),(90,0,11),(91,0,10),(0,10,91),(0,11,91),(91,0,11),(91,0,10),(90,0,11),(90,0,10),(91,0,10),(91,0,10),(91,0,10),(91,0,10),(0,10,91),(90,0,11),(90,0,11),(91,0,10),(90,0,10),(0,10,91),(10,90,0),(10,90,0),(0,11,91),(0,11,90),(10,90,0),(90,0,10),(90,0,10),(90,0,10),(11,91,0),(11,90,0),(90,0,10),(11,91,0),(91,0,11),(90,0,10),(10,90,0),(90,0,10),(91,0,11),(11,90,0),(0,10,90),(11,91,0),(10,91,0),(90,0,10),(0,10,91),(11,91,0),(91,0,10),(91,0,10),(0,11,90),(91,0,10),(90,0,10),(91,0,10),(90,0,10),(11,91,0),(91,0,10),(90,0,11),(90,0,10),(10,91,0),(91,0,11),(91,0,11)	(96,0,2),(98,0,2),(99,0,2),(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3),(97,0,3),(97,0,4),(97,0,12),(96,0,41),(96,0,63),(97,0,77),(96,0,80),(96,0,82),(96,0,81),(97,0,61),(98,0,44),(99,0,19),(99,0,8),(99,0,3),(99,0,2),(98,0,2),(98,0,2),(96,0,4),(97,0,8),(97,0,38),(96,0,57),(96,0,77),(96,0,78),(95,0,79),(97,0,80),(97,0,65),(98,0,50),(99,0,26),(99,0,8),(99,0,2),(99,0,4),(98,0,5)	6324	1870234	.00338139505537809707	.01221640553351603298
5	(90,0,11),(91,0,11),(91,0,10),(90,0,10),(90,0,11),(91,0,10),(91,0,10),(91,0,11),(91,0,11),(91,0,10),(10,91,0),(90,0,10),(91,0,10),(91,0,10),(91,0,10),(91,0,10),(0,10,91),(90,0,11),(10,91,0),(0,10,91),(90,0,10),(10,91,0),(10,90,0),(91,0,10),(90,0,11),(91,0,10),(91,0,10),(90,0,10),(0,11,90),(0,10,90),(91,0,10),(91,0,10),(10,90,0),(0,10,90),(91,0,11),(0,10,91),(90,0,11),(90,0,10),(91,0,11),(91,0,10),(0,10,90),(11,91,0),(90,0,11),(0,10,91),(91,0,11),(91,0,11),(91,0,10),(91,0,10),(91,0,10),(0,10,91),(10,90,0),(91,0,10),(90,0,10),(0,11,90),(0,10,90),(90,0,11),(90,0,10),(0,10,90),(0,10,91),(91,0,11)	(98,0,2),(99,0,2),(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3),(97,0,3),(97,0,4),(97,0,12),(96,0,41),(96,0,63),(97,0,77),(96,0,80),(96,0,82),(96,0,81),(97,0,61),(98,0,44),(99,0,19),(99,0,8),(99,0,3),(99,0,2),(98,0,2),(98,0,2),(96,0,4),(97,0,8),(97,0,38),(96,0,57),(96,0,77),(96,0,78),(95,0,79),(97,0,80),(97,0,65),(98,0,50),(99,0,26),(99,0,8),(99,0,2),(99,0,4),(98,0,5),(98,0,2)	4799	2014615	.00238209285645148080	.01459849838996751378
6	(90,0,11),(91,0,11),(10,90,0),(10,91,0),(0,11,91),(91,0,10),(91,0,10),(10,91,0),(91,0,11),(91,0,10),(0,11,91),(90,0,10),(91,0,10),(91,0,10),(10,90,0),(91,0,10),(91,0,11),(90,0,11),(90,0,11),(91,0,10),(10,90,0),(10,91,0),(90,0,10),(91,0,10),(90,0,11),(91,0,10),(91,0,10),(90,0,10),(90,0,10),(90,0,10),(11,91,0),(0,10,90),(10,90,0),(91,0,10),(91,0,11),(0,10,91),(0,10,91),(90,0,10),(91,0,11),(91,0,10),(0,10,90),(91,0,10),(90,0,11),(90,0,10),(91,0,11),(91,0,11),(0,10,91),(0,10,90),(91,0,10),(10,90,0),(90,0,10),(91,0,10),(10,90,0),(91,0,10),(11,91,0),(90,0,11),(90,0,10),(90,0,10),(91,0,11),(91,0,11)	(99,0,2),(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3),(97,0,3),(97,0,4),(97,0,12),(96,0,41),(96,0,63),(97,0,77),(96,0,80),(96,0,82),(96,0,81),(97,0,61),(98,0,44),(99,0,19),(99,0,8),(99,0,3),(99,0,2),(98,0,2),(98,0,2),(96,0,4),(97,0,8),(97,0,38),(96,0,57),(96,0,77),(96,0,78),(95,0,79),(97,0,80),(97,0,65),(98,0,50),(99,0,26),(99,0,8),(99,0,2),(99,0,4),(98,0,5),(98,0,2),(97,0,3)	4875	2006869	.00242915706007716497	.01702765545004467875
7	(0,11,91),(0,10,91),(91,0,10),(90,0,10),(0,11,91),(0,10,91),(91,0,10),(0,11,91),(0,11,91),(91,0,10),(90,0,11),(90,0,10),(11,90,0),(91,0,10),(0,10,90),(11,91,0),(0,10,91),(90,0,11),(10,91,0),(91,0,10),(90,0,10),(91,0,11),(90,0,10),(91,0,10),(90,0,11),(91,0,10),(91,0,10),(0,11,90),(10,91,0),(90,0,10),(0,10,91),(91,0,10),(10,90,0),(91,0,10),(91,0,11),(90,0,10),(0,10,91),(90,0,10),(10,91,0),(91,0,10),(91,0,10),(91,0,10),(10,91,0),(10,90,0),(0,10,91),(91,0,11),(91,0,10),(91,0,10),(91,0,10),(91,0,10),(90,0,10),(91,0,10),(90,0,10),(91,0,10),(91,0,10),(90,0,11),(90,0,10),(90,0,10),(10,90,0),(91,0,11)	(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3),(97,0,3),(97,0,4),(97,0,12),(96,0,41),(96,0,63),(97,0,77),(96,0,80),(96,0,82),(96,0,81),(97,0,61),(98,0,44),(99,0,19),(99,0,8),(99,0,3),(99,0,2),(98,0,2),(98,0,2),(96,0,4),(97,0,8),(97,0,38),(96,0,57),(96,0,77),(96,0,78),(95,0,79),(97,0,80),(97,0,65),(98,0,50),(99,0,26),(99,0,8),(99,0,2),(99,0,4),(98,0,5),(98,0,2),(97,0,3),(96,0,7)	5277	1969301	.00267963099597268269	.01970728644601736144
8	(10,91,0),(11,90,0),(10,90,0),(0,10,90),(90,0,11),(10,90,0),(91,0,10),(91,0,11),(11,91,0),(11,90,0),(90,0,11),(0,11,91),(91,0,10),(91,0,10),(91,0,10),(0,11,91),(0,10,91),(90,0,11),(10,91,0),(11,90,0),(10,90,0),(91,0,11),(90,0,10),(10,90,0),(10,91,0),(0,11,90),(0,10,90),(90,0,10),(90,0,10),(10,90,0),(0,10,91),(91,0,10),(10,90,0),(11,91,0),(91,0,11),(90,0,10),(90,0,11),(90,0,10),(91,0,11),(11,90,0),(91,0,10),(0,10,90),(0,10,91),(90,0,10),(10,90,0),(91,0,11),(0,10,91),(91,0,10),(91,0,10),(91,0,10),(90,0,10),(91,0,10),(10,90,0),(91,0,10),(91,0,10),(10,90,0),(90,0,10),(10,91,0),(91,0,11),(10,90,0)	(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3),(97,0,3),(97,0,4),(97,0,12),(96,0,41),(96,0,63),(97,0,77),(96,0,80),(96,0,82),(96,0,81),(97,0,61),(98,0,44),(99,0,19),(99,0,8),(99,0,3),(99,0,2),(98,0,2),(98,0,2),(96,0,4),(97,0,8),(97,0,38),(96,0,57),(96,0,77),(96,0,78),(95,0,79),(97,0,80),(97,0,65),(98,0,50),(99,0,26),(99,0,8),(99,0,2),(99,0,4),(98,0,5),(98,0,2),(97,0,3),(96,0,7),(96,0,37)	6649	1843055	.00360759716883109836	.02331488361484845980
9	(10,91,0),(91,0,11),(91,0,10),(90,0,10),(0,11,91),(91,0,10),(11,91,0),(91,0,11),(11,91,0),(91,0,10),(0,11,91),(90,0,10),(91,0,10),(91,0,10),(10,90,0),(91,0,10),(11,90,0),(90,0,11),(10,91,0),(91,0,10),(90,0,10),(10,91,0),(10,90,0),(91,0,10),(90,0,11),(91,0,10),(91,0,10),(90,0,10),(10,91,0),(90,0,10),(91,0,10),(91,0,10),(90,0,10),(11,91,0),(0,11,91),(90,0,10),(10,90,0),(10,90,0),(91,0,11),(91,0,10),(10,90,0),(0,10,90),(10,91,0),(90,0,10),(10,90,0),(91,0,11),(91,0,10),(11,90,0),(0,11,90),(91,0,10),(90,0,10),(91,0,10),(90,0,10),(0,11,90),(91,0,10),(90,0,11),(10,91,0),(10,91,0),(91,0,11),(91,0,11)	(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3),(97,0,3),(97,0,4),(97,0,12),(96,0,41),(96,0,63),(97,0,77),(96,0,80),(96,0,82),(96,0,81),(97,0,61),(98,0,44),(99,0,19),(99,0,8),(99,0,3),(99,0,2),(98,0,2),(98,0,2),(96,0,4),(97,0,8),(97,0,38),(96,0,57),(96,0,77),(96,0,78),(95,0,79),(97,0,80),(97,0,65),(98,0,50),(99,0,26),(99,0,8),(99,0,2),(99,0,4),(98,0,5),(98,0,2),(97,0,3),(96,0,7),(96,0,37),(96,0,54)	6061	1906191	.00317963939605212699	.02649452301090058679
10	(0,10,91),(91,0,0),(91,0,10),(0,90,0),(10,91,0),(0,0,91),(91,0,10),(91,0,0),(91,0,10),(0,90,0),(90,0,10),(90,0,0),(91,0,10),(91,0,0),(10,90,0),(0,91,0),(91,0,10),(90,0,1),(90,0,10),(91,0,0),(10,90,0),(91,0,0),(90,0,10),(0,90,0),(90,0,10),(90,0,0),(91,0,10),(0,0,90),(10,91,0),(0,0,90),(0,10,91),(0,0,90),(0,10,91),(91,0,0),(91,0,10),(90,0,0),(90,0,10),(90,0,0),(90,0,10),(91,0,0),(91,0,10),(1,91,0),(90,0,11),(90,0,0),(91,0,10),(91,0,0),(90,0,10),(91,0,0),(91,0,10),(91,0,0),(90,0,10),(0,0,90),(90,0,10),(91,0,0),(10,90,0),(90,0,0),(90,0,10),(90,0,0),(90,0,10),(91,0,1)	(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3),(97,0,3),(97,0,4),(97,0,12),(96,0,41),(96,0,63),(97,0,77),(96,0,80),(96,0,82),(96,0,81),(97,0,61),(98,0,44),(99,0,19),(99,0,8),(99,0,3),(99,0,2),(98,0,2),(98,0,2),(96,0,4),(97,0,8),(97,0,38),(96,0,57),(96,0,77),(96,0,78),(95,0,79),(97,0,80),(97,0,65),(98,0,50),(99,0,26),(99,0,8),(99,0,2),(99,0,4),(98,0,5),(98,0,2),(97,0,3),(96,0,7),(96,0,37),(96,0,54),(96,0,70)	4767	2009933	.00237172084840638966	.02886624385930697645
