exp,smape,duration
301_hpc-single-s10-b1-h1-ps-pcl03-pm1-pd0-ps1, 5.808%, 557
302_hpc-single-s10-b1-h1-ps-pcl04-pm1-pd0-ps1, 5.839%, 555
303_hpc-single-s10-b1-h1-ps-pcl05-pm1-pd0-ps1, 5.800%, 556
304_hpc-single-s10-b1-h1-ps-pcl06-pm1-pd0-ps1, 5.838%, 556
305_hpc-single-s10-b1-h1-ps-pcl07-pm1-pd0-ps1, 5.838%, 554
306_uninet-single-s10-b1-h1-ps-pcl03-pm1-pd0-ps1, 0.391%, 3745
307_uninet-single-s10-b1-h1-ps-pcl04-pm1-pd0-ps1, 0.392%, 3744
308_uninet-single-s10-b1-h1-ps-pcl05-pm1-pd0-ps1, 0.386%, 3742
309_uninet-single-s10-b1-h1-ps-pcl06-pm1-pd0-ps1, 0.403%, 3744
310_uninet-single-s10-b1-h1-ps-pcl07-pm1-pd0-ps1, 0.396%, 3745
311_hpc-multi-s10-b1-h1-ps-pcl03-pm1-pd0-ps1, 0.388%, 296
312_hpc-multi-s10-b1-h1-ps-pcl04-pm1-pd0-ps1, 0.604%, 443
313_hpc-multi-s10-b1-h1-ps-pcl05-pm1-pd0-ps1, 0.712%, 523
314_hpc-multi-s10-b1-h1-ps-pcl06-pm1-pd0-ps1, 1.464%, 1176
315_hpc-multi-s10-b1-h1-ps-pcl07-pm1-pd0-ps1, 1.838%, 3920
316_hpc-single-s10-b10-h1-ps-pcl03-pm1-pd0-ps1, 5.852%, 162
317_hpc-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 5.852%, 164
318_hpc-single-s10-b10-h1-ps-pcl05-pm1-pd0-ps1, 5.859%, 164
319_hpc-single-s10-b10-h1-ps-pcl06-pm1-pd0-ps1, 5.860%, 164
320_hpc-single-s10-b10-h1-ps-pcl07-pm1-pd0-ps1, 5.861%, 164
321_uninet-single-s10-b10-h1-ps-pcl03-pm1-pd0-ps1, 0.462%, 256
322_uninet-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 0.469%, 256
323_uninet-single-s10-b10-h1-ps-pcl05-pm1-pd0-ps1, 0.465%, 255
324_uninet-single-s10-b10-h1-ps-pcl06-pm1-pd0-ps1, 0.461%, 256
325_uninet-single-s10-b10-h1-ps-pcl07-pm1-pd0-ps1, 0.462%, 256
326_hpc-multi-s10-b10-h1-ps-pcl03-pm1-pd0-ps1, 0.414%, 193
327_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 0.434%, 199
328_hpc-multi-s10-b10-h1-ps-pcl05-pm1-pd0-ps1, 0.454%, 204
329_hpc-multi-s10-b10-h1-ps-pcl06-pm1-pd0-ps1, 0.575%, 218
330_hpc-multi-s10-b10-h1-ps-pcl07-pm1-pd0-ps1, 0.599%, 239
331_hpc-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps2, 7.584%, 182
332_hpc-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps4, 8.510%, 217
333_hpc-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps8, 9.193%, 286
334_hpc-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 8.910%, 424
335_hpc-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps3, 8.600%, 669
336_hpc-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps6, 7.243%, 1207
337_hpc-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 5.728%, 1911
338_uninet-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps2, 0.324%, 283
339_uninet-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps4, 0.325%, 317
340_uninet-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps8, 0.336%, 396
341_uninet-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 0.358%, 553
342_uninet-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps3, 0.367%, 836
343_uninet-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps6, 0.371%, 1447
344_uninet-single-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 0.359%, 2281
345_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps2, 0.329%, 232
346_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps4, 0.321%, 277
347_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps8, 0.308%, 376
348_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 0.312%, 575
349_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps3, 0.319%, 926
350_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps6, 0.328%, 1682
351_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 0.342%, 2681
