exp,smape,avgdiff,duration
356_uninet-single-s10-b1-h1-ps-pcl05-pch5-pm1-pd0-ps1, 0.288%,23.64484126984126984126, 728
357_uninet-single-s10-b1-h1-ps-pcl07-pch5-pm1-pd0-ps1, 0.648%,63.47089947089947089947, 3753
358_hpc-single-s10-b1-h1-ps-pcl03-pch10-pm1-pd0-ps1, 5.669%,6.62004950495049504950, 173
359_hpc-single-s10-b1-h1-ps-pcl05-pch10-pm1-pd0-ps1, 5.605%,15.01113861386138613861, 252
360_hpc-single-s10-b1-h1-ps-pcl07-pch10-pm1-pd0-ps1, 6.088%,74.33993399339933993399, 899
361_uninet-single-s10-b1-h1-ps-pcl03-pch10-pm1-pd0-ps1, 0.178%,7.66170634920634920634, 256
362_uninet-single-s10-b1-h1-ps-pcl05-pch10-pm1-pd0-ps1, 0.273%,24.40542328042328042328, 659
363_uninet-single-s10-b1-h1-ps-pcl07-pch10-pm1-pd0-ps1, 0.732%,82.53306878306878306878, 4964
364_hpc-single-s10-b1-h1-ps-pcl03-pch50-pm1-pd0-ps1, 5.519%,6.08745874587458745874, 172
365_hpc-single-s10-b1-h1-ps-pcl05-pch50-pm1-pd0-ps1, 5.544%,14.21163366336633663366, 243
366_hpc-single-s10-b1-h1-ps-pcl07-pch50-pm1-pd0-ps1, 5.900%,41.67491749174917491749, 1560
367_uninet-single-s10-b1-h1-ps-pcl03-pch50-pm1-pd0-ps1, 0.168%,6.64451058201058201058, 246
368_uninet-single-s10-b1-h1-ps-pcl05-pch50-pm1-pd0-ps1, 0.215%,15.25628306878306878306, 717
369_uninet-single-s10-b1-h1-ps-pcl07-pch50-pm1-pd0-ps1, 0.535%,62.21560846560846560846, 8055
370_hpc-single-s10-b1-h1-ps-pcl03-pch100-pm1-pd0-ps1, 5.584%,6.23514851485148514851, 170
371_hpc-single-s10-b1-h1-ps-pcl05-pch100-pm1-pd0-ps1, 5.537%,9.15387788778877887788, 229
372_hpc-single-s10-b1-h1-ps-pcl07-pch100-pm1-pd0-ps1, 5.712%,18.11551155115511551155, 2423
373_uninet-single-s10-b1-h1-ps-pcl03-pch100-pm1-pd0-ps1, 0.170%,6.72552910052910052910, 247
374_uninet-single-s10-b1-h1-ps-pcl05-pch100-pm1-pd0-ps1, 0.192%,10.28141534391534391534, 1319
