counter	predict	actual	diff	sqsum	frac	sum
1	(0)	(73)	73	5329	.01369863013698630136	.01369863013698630136
2	(0)	(93)	93	8649	.01075268817204301075	.02445131830902931211
3	(0)	(98)	98	9604	.01020408163265306122	.03465539994168237333
4	(0)	(99)	99	9801	.01010101010101010101	.04475641004269247434
5	(0)	(99)	99	9801	.01010101010101010101	.05485742014370257535
6	(0)	(99)	99	9801	.01010101010101010101	.06495843024471267636
7	(0)	(99)	99	9801	.01010101010101010101	.07505944034572277737
8	(0)	(99)	99	9801	.01010101010101010101	.08516045044673287838
9	(0)	(99)	99	9801	.01010101010101010101	.09526146054774297939
10	(metric),(metric_0),(not),(found),(in),(TxMatrix),(array),(metric),(metric_0),(not),(found),(in),(TxMatrix),(array),(metric),(metric_0),(not),(found),(in),(TxMatrix),(array),(metric),(metric_0),(not),(found),(in),(TxMatrix),(array),(metric),(metric_0),(not),(found),(in),(TxMatrix),(array),(metric),(metric_0),(not),(found),(in),(TxMatrix),(array),(metric),(metric_0),(not),(found),(in),(TxMatrix),(array)	(99),(99),(98),(94),(96),(98),(99),(99),(99),(99),(99),(99),(99),(99),(99),(98),(97),(95),(96),(96),(96),(96),(95),(94),(95),(97),(99),(99),(99),(99),(98),(97),(97),(97),(97),(96),(96),(97),(96),(96),(96),(97),(98),(99),(99),(99),(99),(98),(98)	4776	465626	.01025715917925545394	.10551861972699843333
11	(91),(91),(91),(91),(91),(91),(91),(91)	(99),(98),(94),(96),(98),(99),(99),(99)	54	285036	.00018944975371532017	.10570806948071375350
12	(91),(91),(91),(91),(91),(91),(91),(91)	(98),(94),(96),(98),(99),(99),(99),(99)	54	285036	.00018944975371532017	.10589751923442907367
13	(91),(91),(91),(91),(91),(91),(91),(91)	(94),(96),(98),(99),(99),(99),(99),(99)	55	285415	.00019270185519331499	.10609022108962238866
14	(91),(91),(91),(91),(91),(91),(91),(91)	(96),(98),(99),(99),(99),(99),(99),(99)	60	287290	.00020884820216505969	.10629906929178744835
15	(91),(91),(91),(91),(91),(91),(91),(91)	(98),(99),(99),(99),(99),(99),(99),(99)	63	288421	.00021843069679392277	.10651749998858137112
16	(91),(91),(91),(91),(91),(91),(91),(91)	(99),(99),(99),(99),(99),(99),(99),(99)	64	288800	.00022160664819944598	.10673910663678081710
17	(91),(91),(91),(91),(91),(91),(91),(91)	(99),(99),(99),(99),(99),(99),(99),(99)	64	288800	.00022160664819944598	.10696071328498026308
18	(91),(91),(91),(91),(91),(91),(91),(91)	(99),(99),(99),(99),(99),(99),(99),(98)	63	288421	.00021843069679392277	.10717914398177418585
19	(91),(91),(91),(91),(91),(91),(91),(91)	(99),(99),(99),(99),(99),(99),(98),(97)	61	287665	.00021205221351224514	.10739119619528643099
20	(91),(99),(91),(99),(91),(99),(91),(99)	(99),(99),(99),(99),(99),(98),(97),(95)	35	298497	.00011725410975654696	.10750845030504297795
21	(91),(99),(91),(99),(91),(99),(91),(99)	(99),(99),(99),(99),(98),(97),(95),(96)	32	297366	.00010761149559801725	.10761606180064099520
22	(91),(99),(91),(99),(91),(99),(91),(99)	(99),(99),(99),(98),(97),(95),(96),(96)	35	296187	.00011816858943842910	.10773423039007942430
23	(91),(99),(99),(91),(99),(91),(99),(91)	(99),(99),(98),(97),(95),(96),(96),(96)	32	295056	.00010845398839542324	.10784268437847484754
24	(91),(99),(91),(99),(91),(99),(91),(99)	(99),(98),(97),(95),(96),(96),(96),(96)	35	293877	.00011909744552993259	.10796178182400478013
25	(91),(99),(91),(99),(91),(99),(91),(99)	(98),(97),(95),(96),(96),(96),(96),(95)	33	292357	.00011287569649435450	.10807465752049913463
26	(91),(99),(91),(99),(91),(99),(91),(99)	(97),(95),(96),(96),(96),(96),(95),(94)	35	290813	.00012035225385385110	.10819500977435298573
27	(91),(99),(91),(99),(91),(99),(91),(99)	(95),(96),(96),(96),(96),(95),(94),(95)	31	290081	.00010686670274854264	.10830187647710152837
28	(91),(99),(99),(99),(99),(91),(99),(91)	(96),(96),(96),(96),(95),(94),(95),(97)	31	293885	.00010548343739898259	.10840735991450051096
29	(91),(99),(91),(99),(91),(99),(91),(99)	(96),(96),(96),(95),(94),(95),(97),(99)	30	292008	.00010273691131749815	.10851009682581800911
30	(91),(99),(98),(91),(99),(98),(91),(99)	(96),(96),(95),(94),(95),(97),(99),(99)	27	295433	.00009139127991795093	.10860148810573596004
31	(91),(99),(98),(91),(99),(98),(91),(99)	(96),(95),(94),(95),(97),(99),(99),(99)	28	296594	.00009440514642912533	.10869589325216508537
32	(91),(99),(98),(91),(99),(98),(91),(99)	(95),(94),(95),(97),(99),(99),(99),(99)	27	297755	.00009067857802555792	.10878657183019064329
33	(91),(99),(98),(91),(99),(98),(91),(99)	(94),(95),(97),(99),(99),(99),(99),(98)	26	298908	.00008698328582707722	.10887355511601772051
34	(91),(99),(98),(91),(99),(98),(99),(98)	(95),(97),(99),(99),(99),(99),(98),(97)	18	302768	.00005945146118480156	.10893300657720252207
35	(91),(99),(98),(91),(99),(98),(91),(99)	(97),(99),(99),(99),(99),(98),(97),(97)	23	300837	.00007645336178728015	.10900945993898980222
36	(99),(98),(91),(99),(98),(91),(99),(98)	(99),(99),(99),(99),(98),(97),(97),(97)	18	303518	.00005930455524878260	.10906876449423858482
37	(91),(99),(98),(91),(99),(98),(91),(99)	(99),(99),(99),(98),(97),(97),(97),(97)	27	300035	.00008998950122485710	.10915875399546344192
38	(91),(99),(98),(91),(99),(98),(91),(99)	(99),(99),(98),(97),(97),(97),(97),(96)	26	298874	.00008699318107296051	.10924574717653640243
39	(91),(99),(98),(91),(99),(98),(91),(99)	(99),(98),(97),(97),(97),(97),(96),(96)	27	297713	.00009069137054814536	.10933643854708454779
40	(91),(99),(98),(91),(99),(98),(91),(99)	(98),(97),(97),(97),(97),(96),(96),(97)	27	296943	.00009092654145745143	.10942736508854199922
41	(99),(98),(97),(91),(99),(98),(97),(91)	(97),(97),(97),(97),(96),(96),(97),(96)	19	297687	.00006382542737842095	.10949119051592042017
42	(91),(99),(98),(97),(91),(99),(98),(97)	(97),(97),(97),(96),(96),(97),(96),(96)	20	297304	.00006727121061270618	.10955846172653312635
43	(97),(98),(97),(91),(99),(98),(97),(97)	(97),(97),(96),(96),(97),(96),(96),(96)	13	298429	.00004356145012716592	.10960202317666029227
44	(91),(99),(98),(97),(98),(97),(99),(98)	(97),(96),(96),(97),(96),(96),(96),(97)	18	299576	.00006008492002029535	.10966210809668058762
45	(99),(98),(97),(98),(97),(91),(99),(98)	(96),(96),(97),(96),(96),(96),(97),(98)	15	299983	.00005000283349389798	.10971211093017448560
46	(91),(99),(98),(97),(91),(99),(98),(97)	(96),(97),(96),(96),(96),(97),(98),(99)	19	298487	.00006365436350661837	.10977576529368110397
47	(91),(99),(98),(97),(91),(99),(98),(97)	(97),(96),(96),(96),(97),(98),(99),(99)	22	299632	.00007342339936989373	.10984918869305099770
48	(97),(91),(99),(98),(97),(91),(99),(98)	(96),(96),(96),(97),(98),(99),(99),(99)	20	300406	.00006657656638016550	.10991576525943116320
49	(97),(99),(98),(97),(91),(99),(98),(97)	(96),(96),(97),(98),(99),(99),(99),(99)	17	303853	.00005594810648570196	.10997171336591686516
50	(97),(97),(97),(97),(97),(97),(97),(97)	(96),(97),(98),(99),(99),(99),(99),(98)	11	304599	.00003611305355565842	.11000782641947252358
51	(97),(97),(97),(97),(97),(97),(97),(97)	(97),(98),(99),(99),(99),(99),(98),(98)	11	305375	.00003602128530495292	.11004384770477747650
52	(97),(97),(97),(97),(97),(97),(97),(97)	(98),(99),(99),(99),(99),(98),(98),(96)	12	304988	.00003934581032696368	.11008319351510444018
53	(97),(97),(97),(97),(97),(97),(97),(97)	(99),(99),(99),(99),(98),(98),(96),(97)	11	304599	.00003611305355565842	.11011930656866009860
54	(97),(97),(97),(97),(97),(97),(97),(97)	(99),(99),(99),(98),(98),(96),(97),(97)	9	303819	.00002962290047692869	.11014892946913702729
55	(97),(97),(97),(97),(97),(97),(97),(97)	(99),(99),(98),(98),(96),(97),(97),(96)	8	302652	.00002643299895589654	.11017536246809292383
