counter	predict	actual	diff	sqsum	frac	sum
1	(0,11,91),(91,0,11),(91,0,10),(90,0,10),(10,91,0),(91,0,10),(91,0,10),(91,0,11),(91,0,11),(91,0,10),(90,0,11),(90,0,10),(91,0,10),(91,0,10),(91,0,10),(91,0,10),(91,0,11),(90,0,11),(0,10,91),(0,10,91),(90,0,10),(10,91,0),(10,90,0),(0,10,91),(10,91,0),(0,11,90),(10,90,0),(90,0,10),(90,0,10),(0,10,90)	(99,0,1),(98,0,1),(94,0,2),(96,0,2),(98,0,2),(99,0,2),(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1)	2424	966360	.00250838196945237799	.00250838196945237799
2	(10,91,0),(11,90,0),(91,0,10),(90,0,10),(10,91,0),(91,0,10),(91,0,10),(91,0,11),(91,0,11),(91,0,10),(0,11,91),(90,0,10),(91,0,10),(91,0,10),(91,0,10),(91,0,10),(91,0,11),(90,0,11),(90,0,11),(91,0,10),(90,0,10),(91,0,11),(90,0,10),(91,0,10),(90,0,11),(91,0,10),(0,10,90),(90,0,10),(10,91,0),(90,0,10)	(98,0,1),(94,0,2),(96,0,2),(98,0,2),(99,0,2),(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3)	1847	1018395	.00181363812666008768	.00432202009611246567
3	(0,11,91),(91,0,11),(91,0,10),(0,10,90),(0,11,91),(10,90,0),(0,10,91),(0,11,91),(91,0,11),(91,0,10),(90,0,11),(90,0,10),(91,0,10),(91,0,10),(10,90,0),(11,91,0),(11,90,0),(90,0,11),(90,0,11),(11,90,0),(90,0,10),(91,0,11),(90,0,10),(91,0,10),(10,91,0),(10,91,0),(91,0,10),(10,91,0),(0,11,90),(90,0,10)	(94,0,2),(96,0,2),(98,0,2),(99,0,2),(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3),(97,0,3)	3316	882594	.00375710689173051255	.00807912698784297822
4	(90,0,11),(91,0,11),(0,10,91),(90,0,10),(90,0,11),(0,10,91),(91,0,10),(0,11,91),(91,0,11),(91,0,10),(90,0,11),(90,0,10),(91,0,10),(0,10,90),(91,0,10),(91,0,10),(0,10,91),(90,0,11),(0,10,91),(0,10,91),(0,10,91),(91,0,11),(90,0,10),(91,0,10),(10,91,0),(10,91,0),(91,0,10),(90,0,10),(90,0,10),(90,0,10)	(96,0,2),(98,0,2),(99,0,2),(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3),(97,0,3),(97,0,4)	2092	995262	.00210195908213113732	.01018108606997411554
5	(10,91,0),(0,10,91),(91,0,10),(90,0,10),(90,0,11),(91,0,10),(0,10,91),(91,0,11),(91,0,11),(91,0,10),(10,91,0),(10,91,0),(91,0,10),(91,0,10),(0,10,90),(0,11,91),(0,10,91),(90,0,11),(90,0,11),(91,0,10),(90,0,10),(91,0,11),(10,90,0),(10,90,0),(90,0,11),(0,11,90),(91,0,10),(90,0,10),(90,0,10),(90,0,10)	(98,0,2),(99,0,2),(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3),(97,0,3),(97,0,4),(97,0,12)	2428	963756	.00251930986681276173	.01270039593678687727
6	(10,91,0),(91,0,11),(0,10,91),(90,0,10),(90,0,11),(91,0,10),(11,91,0),(91,0,11),(91,0,11),(91,0,10),(90,0,11),(90,0,10),(11,90,0),(91,0,10),(91,0,10),(91,0,10),(91,0,11),(90,0,11),(10,91,0),(91,0,10),(10,90,0),(91,0,11),(10,90,0),(91,0,10),(90,0,11),(10,91,0),(0,10,90),(90,0,10),(90,0,10),(10,90,0)	(99,0,2),(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3),(97,0,3),(97,0,4),(97,0,12),(96,0,41)	2601	954841	.00272401373631840274	.01542440967310528001
7	(90,0,11),(11,90,0),(0,10,91),(0,10,90),(90,0,11),(0,10,91),(11,91,0),(10,91,0),(91,0,11),(91,0,10),(0,11,91),(90,0,10),(91,0,10),(91,0,10),(91,0,10),(0,11,91),(11,90,0),(90,0,11),(90,0,11),(91,0,10),(90,0,10),(10,91,0),(0,10,90),(91,0,10),(0,11,91),(91,0,10),(91,0,10),(90,0,10),(0,11,90),(10,90,0)	(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3),(97,0,3),(97,0,4),(97,0,12),(96,0,41),(96,0,63)	3162	906488	.00348818737810097872	.01891259705120625873
8	(0,11,91),(0,10,91),(10,90,0),(90,0,10),(10,91,0),(0,10,91),(91,0,10),(91,0,11),(0,11,91),(91,0,10),(90,0,11),(90,0,10),(91,0,10),(91,0,10),(91,0,10),(91,0,10),(0,10,91),(10,91,0),(90,0,11),(91,0,10),(10,90,0),(0,10,91),(0,10,90),(0,10,91),(90,0,11),(10,91,0),(91,0,10),(0,11,90),(0,11,90),(90,0,10)	(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3),(97,0,3),(97,0,4),(97,0,12),(96,0,41),(96,0,63),(97,0,77)	3312	903334	.00366641795836313035	.02257901500956938908
9	(10,91,0),(91,0,11),(91,0,10),(90,0,10),(10,91,0),(91,0,10),(0,10,91),(0,11,91),(91,0,11),(91,0,10),(90,0,11),(90,0,10),(0,10,91),(91,0,10),(91,0,10),(91,0,10),(91,0,11),(0,11,91),(10,91,0),(91,0,10),(10,90,0),(91,0,11),(90,0,10),(10,90,0),(90,0,11),(91,0,10),(91,0,10),(90,0,10),(90,0,10),(0,10,90)	(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3),(97,0,3),(97,0,4),(97,0,12),(96,0,41),(96,0,63),(97,0,77),(96,0,80)	2407	1002195	.00240172820658654253	.02498074321615593161
10	(90,0,11),(11,90,0),(10,90,0),(90,0,10),(0,11,91),(0,10,91),(91,0,10),(91,0,11),(91,0,11),(91,0,10),(10,91,0),(90,0,10),(0,10,91),(10,90,0),(91,0,10),(0,11,91),(91,0,11),(90,0,11),(90,0,11),(91,0,10),(10,90,0),(91,0,11),(90,0,10),(91,0,10),(0,11,91),(91,0,10),(91,0,10),(0,11,90),(90,0,10),(90,0,10)	(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59),(99,0,43),(99,0,16),(99,0,6),(99,0,2),(98,0,1),(97,0,3),(97,0,3),(97,0,4),(97,0,12),(96,0,41),(96,0,63),(97,0,77),(96,0,80),(96,0,82)	2629	993689	.00264569699372741370	.02762644020988334531
