exp,smape,duration
001_hpc-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps1, 3.499%, 152
002_hpc-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps1, 5.746%, 150
003_hpc-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps1, 5.792%, 151
004_hpc-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps1, 4.826%, 150
005_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 5.233%, 150
006_hpc-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps1, 4.884%, 150
007_hpc-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps1, 3.094%, 152
008_hpc-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps1, 4.171%, 156
009_hpc-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps1, 5.789%, 151
010_hpc-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps1, 5.761%, 152
011_hpc-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps1, 5.901%, 154
012_hpc-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps1, 5.192%, 153
013_hpc-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps1, 5.330%, 154
014_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps1, 5.195%, 156
015_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps1, 1.023%, 218
016_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.364%, 218
017_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.290%, 219
018_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.291%, 218
019_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.321%, 219
020_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.299%, 220
021_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.303%, 223
022_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.314%, 227
023_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps1, 0.366%, 221
024_uninet-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps1, 0.389%, 221
025_uninet-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps1, 0.361%, 223
026_uninet-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps1, 0.330%, 222
027_uninet-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps1, 0.326%, 224
028_uninet-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps1, 0.321%, 229
029_hpc-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps2, 3.024%, 173
030_hpc-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps2, 5.584%, 173
031_hpc-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps2, 5.400%, 173
032_hpc-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps2, 5.525%, 174
033_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 5.326%, 173
034_hpc-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps2, 5.012%, 175
035_hpc-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps2, 2.971%, 176
036_hpc-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps2, 3.683%, 179
037_hpc-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps2, 5.552%, 174
038_hpc-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps2, 5.522%, 174
039_hpc-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps2, 5.459%, 175
040_hpc-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps2, 5.545%, 174
041_hpc-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps2, 5.491%, 175
042_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps2, 5.061%, 177
043_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.861%, 246
044_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.332%, 246
045_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.299%, 247
046_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.305%, 247
047_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.327%, 247
048_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.308%, 247
049_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.316%, 250
050_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.331%, 255
051_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps2, 0.331%, 248
052_uninet-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps2, 0.329%, 247
053_uninet-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps2, 0.330%, 249
054_uninet-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps2, 0.347%, 248
055_uninet-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps2, 0.349%, 252
056_uninet-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps2, 0.347%, 255
057_hpc-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps4, 2.600%, 215
058_hpc-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps4, 4.049%, 214
059_hpc-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps4, 4.215%, 215
060_hpc-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps4, 3.864%, 216
061_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps4, 5.262%, 215
062_hpc-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps4, 4.780%, 216
