counter	predict	actual	diff	sqsum	frac	sum
1	(0)	(73)	73	5329	.01369863013698630136	.01369863013698630136
2	(0)	(93)	93	8649	.01075268817204301075	.02445131830902931211
3	(0)	(98)	98	9604	.01020408163265306122	.03465539994168237333
4	(0)	(99)	99	9801	.01010101010101010101	.04475641004269247434
5	(0)	(99)	99	9801	.01010101010101010101	.05485742014370257535
6	(0)	(99)	99	9801	.01010101010101010101	.06495843024471267636
7	(0)	(99)	99	9801	.01010101010101010101	.07505944034572277737
8	(0)	(99)	99	9801	.01010101010101010101	.08516045044673287838
9	(0)	(99)	99	9801	.01010101010101010101	.09526146054774297939
10	(90),(90),(90),(90)	(99),(99),(98),(94)	30	140642	.00021330754682100652	.09547476809456398591
11	(90),(90),(90),(90)	(99),(98),(94),(96)	27	139517	.00019352480342897281	.09566829289799295872
12	(90),(90),(90),(90)	(98),(94),(96),(98)	26	139140	.00018686215322696564	.09585515505121992436
13	(90),(90),(90),(90)	(94),(96),(98),(99)	27	139517	.00019352480342897281	.09604867985464889717
14	(90),(90),(90),(90)	(96),(98),(99),(99)	32	141382	.00022633715748822339	.09627501701213712056
15	(90),(90),(90),(90)	(98),(99),(99),(99)	35	142507	.00024560197042952276	.09652061898256664332
16	(90),(90),(90),(90)	(99),(99),(99),(99)	36	142884	.00025195263290501385	.09677257161547165717
17	(90),(90),(90),(90)	(99),(99),(99),(99)	36	142884	.00025195263290501385	.09702452424837667102
18	(90),(90),(90),(90)	(99),(99),(99),(99)	36	142884	.00025195263290501385	.09727647688128168487
19	(90),(90),(90),(90)	(99),(99),(99),(99)	36	142884	.00025195263290501385	.09752842951418669872
20	(90),(98),(90),(98)	(99),(99),(99),(99)	20	149060	.00013417415805715819	.09766260367224385691
21	(90),(98),(90),(98)	(99),(99),(99),(99)	20	149060	.00013417415805715819	.09779677783030101510
22	(90),(98),(90),(98)	(99),(99),(99),(98)	19	148667	.00012780240403048423	.09792458023433149933
23	(90),(98),(90),(98)	(99),(99),(98),(97)	19	147899	.00012846604777584703	.09805304628210734636
24	(90),(98),(90),(98)	(99),(98),(97),(95)	19	146355	.00012982132486078371	.09818286760696813007
25	(90),(98),(90),(98)	(98),(97),(95),(96)	16	145230	.00011017007505336363	.09829303768202149370
26	(90),(98),(90),(98)	(97),(95),(96),(96)	18	144450	.00012461059190031152	.09841764827392180522
27	(90),(98),(90),(98)	(95),(96),(96),(96)	15	144093	.00010409943578105806	.09852174770970286328
28	(90),(98),(90),(98)	(96),(96),(96),(96)	16	144464	.00011075423634954036	.09863250194605240364
29	(90),(98),(90),(98)	(96),(96),(96),(95)	17	144077	.00011799246236387487	.09875049440841627851
30	(98),(98),(98),(98)	(96),(96),(95),(94)	11	149385	.00007363523780834755	.09882412964622462606
31	(98),(98),(98),(98)	(96),(95),(94),(95)	12	148998	.00008053799379857447	.09890466764002320053
32	(98),(98),(98),(98)	(95),(94),(95),(97)	11	149387	.00007363425197641026	.09897830189199961079
33	(98),(98),(98),(98)	(94),(95),(97),(99)	9	150947	.00005962357648711137	.09903792546848672216
34	(98),(98),(98),(98)	(95),(97),(99),(99)	6	152892	.00003924338748920806	.09907716885597593022
35	(98),(98),(98),(98)	(97),(99),(99),(99)	4	154452	.00002589801362235516	.09910306686959828538
36	(98),(98),(98),(98)	(99),(99),(99),(99)	4	155236	.00002576721894405936	.09912883408854234474
37	(98),(98),(98),(98)	(99),(99),(99),(98)	3	154843	.00001937446316591644	.09914820855170826118
38	(98),(98),(98),(98)	(99),(99),(98),(97)	3	154059	.00001947305902284189	.09916768161073110307
39	(98),(98),(98),(98)	(99),(98),(97),(97)	3	153275	.00001957266351329310	.09918725427424439617
40	(98),(98),(98),(98)	(98),(97),(97),(97)	3	152491	.00001967329219429343	.09920692756643868960
41	(98),(98),(98),(98)	(97),(97),(97),(97)	4	152100	.00002629848783694937	.09923322605427563897
42	(98),(98),(98),(98)	(97),(97),(97),(96)	5	151711	.00003295739926570914	.09926618345354134811
43	(98),(98),(98),(98)	(97),(97),(96),(96)	6	151322	.00003965054651669948	.09930583400005804759
44	(98),(98),(98),(98)	(97),(96),(96),(97)	6	151322	.00003965054651669948	.09934548454657474707
45	(98),(98),(98),(98)	(96),(96),(97),(96)	7	150933	.00004637819429813228	.09939186274087287935
46	(98),(98),(98),(98)	(96),(97),(96),(96)	7	150933	.00004637819429813228	.09943824093517101163
47	(98),(98),(98),(98)	(97),(96),(96),(96)	7	150933	.00004637819429813228	.09948461912946914391
48	(98),(98),(98),(98)	(96),(96),(96),(97)	7	150933	.00004637819429813228	.09953099732376727619
49	(98),(98),(98),(98)	(96),(96),(97),(98)	5	151713	.00003295696479537020	.09956395428856264639
50	(98),(98),(98),(98)	(96),(97),(98),(99)	4	152886	.00002616328506207239	.09959011757362471878
51	(98),(98),(98),(98)	(97),(98),(99),(99)	3	154059	.00001947305902284189	.09960959063264756067
52	(98),(98),(98),(98)	(98),(99),(99),(99)	3	154843	.00001937446316591644	.09962896509581347711
53	(98),(98),(98),(98)	(99),(99),(99),(99)	4	155236	.00002576721894405936	.09965473231475753647
54	(98),(98),(98),(98)	(99),(99),(99),(98)	3	154843	.00001937446316591644	.09967410677792345291
55	(98),(98),(98),(98)	(99),(99),(98),(98)	2	154450	.00001294917449012625	.09968705595241357916
56	(98),(98),(98),(98)	(99),(98),(98),(96)	3	153277	.00001957240812385419	.09970662836053743335
57	(98),(98),(98),(98)	(98),(98),(96),(97)	3	152493	.00001967303417206035	.09972630139470949370
58	(98),(98),(98),(98)	(98),(96),(97),(97)	4	152102	.00002629814203626513	.09975259953674575883
59	(98),(98),(98),(98)	(96),(97),(97),(96)	6	151322	.00003965054651669948	.09979225008326245831
60	(98),(98),(98),(98)	(97),(97),(96),(96)	6	151322	.00003965054651669948	.09983190062977915779
61	(98),(98),(98),(98)	(97),(96),(96),(96)	7	150933	.00004637819429813228	.09987827882407729007
62	(98),(98),(98),(98)	(96),(96),(96),(95)	9	150157	.00005993726566194050	.09993821608973923057
63	(98),(98),(98),(98)	(96),(96),(95),(97)	8	150546	.00005313990408247313	.09999135599382170370
64	(98),(98),(98),(98)	(96),(95),(97),(97)	7	150935	.00004637757975287375	.10003773357357457745
65	(98),(98),(98),(98)	(95),(97),(97),(98)	5	151715	.00003295653033648617	.10007069010391106362
66	(98),(98),(98),(98)	(97),(97),(98),(99)	3	153275	.00001957266351329310	.10009026276742435672
67	(98),(98),(98),(98)	(97),(98),(99),(99)	3	154059	.00001947305902284189	.10010973582644719861
68	(98),(98),(98),(98)	(98),(99),(99),(99)	3	154843	.00001937446316591644	.10012911028961311505
69	(98),(98),(98),(98)	(99),(99),(99),(99)	4	155236	.00002576721894405936	.10015487750855717441
70	(98),(98),(98),(98)	(99),(99),(99),(98)	3	154843	.00001937446316591644	.10017425197172309085
71	(98),(98),(98),(98)	(99),(99),(98),(98)	2	154450	.00001294917449012625	.10018720114621321710
72	(98),(98),(98),(98)	(99),(98),(98),(97)	2	153666	.00001301524084703187	.10020021638706024897
73	(98),(98),(98),(98)	(98),(98),(97),(96)	3	152493	.00001967303417206035	.10021988942123230932
74	(98),(98),(98),(98)	(98),(97),(96),(96)	5	151713	.00003295696479537020	.10025284638602767952
75	(98),(98),(98),(98)	(97),(96),(96),(96)	7	150933	.00004637819429813228	.10029922458032581180
76	(98),(98),(98),(98)	(96),(96),(96),(96)	8	150544	.00005314061005420342	.10035236519038001522
77	(98),(98),(98),(98)	(96),(96),(96),(96)	8	150544	.00005314061005420342	.10040550580043421864
78	(98),(98),(98),(98)	(96),(96),(96),(96)	8	150544	.00005314061005420342	.10045864641048842206
79	(98),(98),(98),(98)	(96),(96),(96),(97)	7	150933	.00004637819429813228	.10050502460478655434
80	(98),(98),(98),(98)	(96),(96),(97),(97)	6	151322	.00003965054651669948	.10054467515130325382
81	(98),(98),(98),(98)	(96),(97),(97),(99)	5	152495	.00003278796026099216	.10057746311156424598
82	(98),(98),(98),(98)	(97),(97),(99),(99)	4	153668	.00002603014290548455	.10060349325446973053
83	(98),(98),(98),(98)	(97),(99),(99),(99)	4	154452	.00002589801362235516	.10062939126809208569
