1	246	1.00
2	274	1.15
4	330	2.08
8	446	1.73
16	681	3.51
20	802	2.00
25	952	3.46
30	1100	4.73
40	1407	1.00
50	1701	5.03
60	2012	10.44
100	3194	13.75
