counter	predict	actual	diff	sqsum	frac	sum
11	(0,20,90),(90,10,20),(90,0,20),(90,10,20),(0,10,90),(90,0,0),(90,0,0),(0,0,90),(90,0,0),(90,0,0),(90,0,0),(90,10,0),(90,10,0),(10,20,90),(0,10,90),(90,0,0)	(99,0,1),(98,0,1),(94,0,2),(96,0,2),(98,0,2),(99,0,2),(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2)	1181	484479	.00243767015701402950	.04493953320294356128
12	(0,90,0),(20,90,0),(90,0,20),(90,0,20),(10,90,0),(90,0,0),(90,0,0),(0,90,0),(90,10,20),(10,20,90),(10,20,90),(10,20,90),(90,10,20),(90,0,20),(90,0,20),(10,20,90)	(98,0,1),(94,0,2),(96,0,2),(98,0,2),(99,0,2),(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5)	1711	445047	.00384453776792114091	.04878407097086470219
13	(0,90,0),(90,0,0),(90,0,0),(0,90,0),(0,0,90),(0,0,90),(0,0,90),(90,0,0),(20,90,0),(90,0,20),(90,0,10),(90,0,0),(0,0,90),(0,90,0),(0,90,0),(0,0,90)	(94,0,2),(96,0,2),(98,0,2),(99,0,2),(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14)	1928	398434	.00483894446759061726	.05362301543845531945
14	(90,0,0),(0,0,90),(0,0,90),(20,90,0),(90,0,20),(90,0,10),(0,90,0),(0,90,0),(90,0,20),(10,20,90),(20,90,10),(20,90,0),(90,0,20),(90,0,20),(90,0,20),(90,0,20)	(96,0,2),(98,0,2),(99,0,2),(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49)	1643	447671	.00367010594834152759	.05729312138679684704
15	(0,90,0),(90,0,0),(90,0,0),(90,0,0),(90,10,0),(90,0,0),(90,0,0),(0,0,90),(90,0,0),(90,0,0),(90,0,0),(0,90,0),(90,0,0),(90,0,0),(90,0,20),(90,0,20)	(98,0,2),(99,0,2),(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68)	793	525291	.00150963941891256465	.05880276080570941169
16	(90,0,0),(0,0,90),(90,0,0),(90,0,0),(90,0,0),(0,20,90),(90,0,10),(90,10,0),(90,10,0),(90,0,0),(90,0,0),(0,0,90),(0,90,0),(90,0,0),(90,0,0),(0,0,90)	(99,0,2),(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82)	1129	508223	.00222146577388272470	.06102422657959213639
17	(0,0,90),(90,0,0),(90,0,0),(90,0,0),(90,0,0),(90,0,0),(90,0,0),(90,0,0),(0,90,0),(90,0,0),(0,0,90),(0,0,90),(90,0,0),(90,0,0),(0,90,0),(0,0,90)	(99,0,3),(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82)	1311	498147	.00263175327764695963	.06365597985723909602
18	(0,90,0),(0,0,90),(0,0,90),(0,90,0),(90,0,0),(90,0,0),(90,0,0),(90,0,0),(20,90,0),(90,0,20),(20,90,0),(10,90,0),(90,0,0),(90,0,0),(90,0,0),(0,90,0)	(99,0,3),(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80)	1903	459813	.00413863896845021780	.06779461882568931382
19	(20,90,0),(90,0,20),(10,90,0),(90,0,0),(0,0,90),(90,0,0),(10,0,90),(90,10,0),(90,0,0),(90,0,0),(90,0,0),(0,0,90),(90,0,0),(90,0,0),(0,0,90),(90,0,0)	(99,0,2),(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77)	1345	523557	.00256896574776003376	.07036358457344934758
20	(0,90,0),(90,0,0),(0,0,90),(0,0,90),(0,0,90),(90,0,0),(90,0,0),(90,0,0),(90,0,0),(90,0,0),(90,0,0),(90,0,0),(20,90,0),(20,90,0),(90,0,20),(90,0,20)	(99,0,2),(99,0,1),(99,0,1),(99,0,1),(99,0,1),(98,0,2),(97,0,2),(95,0,5),(96,0,14),(96,0,49),(96,0,68),(96,0,82),(95,0,82),(94,0,80),(95,0,77),(97,0,59)	1630	505162	.00322668767642855163	.07359027224987789921
